seed,repeat,small_block_size,linear_id,primary_group,mean_one_step_delta_loss,median_one_step_delta_loss,max_one_step_delta_loss,probability_one_step_positive,mean_gradient_at_eps,max_gradient_at_eps,mean_candidate_post_step_weight,n_checkpoints,robustly_harmful
0,0,250,3252,random_unseen_control,-3.5762786865234375e-07,0.0,3.2782554626464844e-06,0.3333333333333333,6.149225934374651e-06,6.632437816733727e-06,8.856836795227234e-05,6,False
0,0,250,8445,random_unseen_control,0.0,0.0,0.0,0.0,-2.1190989779521868e-05,-2.0826888430747204e-05,1.0000000116860974e-07,6,False
0,0,250,16382,random_unseen_control,5.960464477539063e-08,0.0,3.5762786865234375e-07,0.16666666666666666,1.6949304419237403e-06,3.777449137487565e-06,1.504742287157986e-05,6,False
0,0,250,19674,large_top_signal,2.9305617014567056e-06,8.344650268554688e-07,1.1324882507324219e-05,1.0,0.00027426352608017623,0.0002769939601421356,0.003830827151735624,6,False
0,0,250,19731,random_unseen_control,0.0,0.0,0.0,0.0,4.305034963181242e-06,4.711415385827422e-06,5.9482908985349546e-05,6,False
0,0,250,23338,random_unseen_control,-1.5894571940104166e-07,-1.4901161193847656e-07,0.0,0.0,3.081501866593802e-05,4.065074244863354e-05,0.0004826537506232853,6,False
0,0,250,24279,random_unseen_control,-6.953875223795573e-08,-5.960464477539063e-08,0.0,0.0,1.0662773092917632e-05,1.0762850251921918e-05,0.00014810788403944267,6,False
0,0,250,25040,large_only_random,-2.9802322387695312e-08,0.0,1.1920928955078125e-07,0.16666666666666666,1.6984150533971842e-05,1.721803710097447e-05,0.00023727627073337013,6,False
0,0,250,27832,random_unseen_control,-9.934107462565105e-08,0.0,0.0,0.0,-4.069113250200947e-06,-3.1926892916089855e-06,1.0000000116860974e-07,6,False
0,0,250,37858,random_unseen_control,0.0,0.0,0.0,0.0,-1.3895118778843122e-05,-9.100420356844552e-06,1.0000000116860974e-07,6,False
0,0,250,38093,random_unseen_control,0.0,0.0,1.1920928955078125e-07,0.16666666666666666,4.740594780135628e-06,9.562068953528069e-06,9.737281644698707e-05,6,False
0,0,250,50691,large_top_signal,7.778406143188477e-06,8.434057235717773e-06,1.3709068298339844e-05,1.0,0.0002782276375607277,0.0002799245121423155,0.0038633606842874237,6,False
0,0,250,54091,random_unseen_control,-1.8874804178873697e-07,0.0,0.0,0.0,6.511414994747611e-06,2.0191837393213063e-05,4.556883830630909e-05,6,False
0,0,250,68890,random_unseen_control,0.0,0.0,0.0,0.0,-8.498043371218955e-07,-5.718636657547904e-07,1.0000000116860974e-07,6,False
0,0,250,83769,large_only_random,-2.9802322387695312e-08,-2.9802322387695312e-08,2.1457672119140625e-06,0.3333333333333333,1.6957739982596347e-06,1.9020974377781386e-06,2.410379336955278e-05,6,False
0,0,250,84718,large_top_signal,3.9736429850260414e-08,8.940696716308594e-08,4.172325134277344e-07,0.5,0.00010992618020585117,0.00011135787644889206,0.0015206914880157758,6,False
0,0,250,95546,random_unseen_control,-3.2782554626464844e-07,2.9802322387695312e-08,4.76837158203125e-07,0.16666666666666666,0.00015732537819227824,0.0001642107527004555,0.0022288911107655927,6,False
0,0,250,96882,large_only_random,0.0,0.0,0.0,0.0,-2.097361266351072e-05,-1.9946952306781895e-05,1.0000000116860974e-07,6,False
0,0,250,102464,random_unseen_control,0.0,0.0,0.0,0.0,-3.309361818537582e-05,-3.2981231925077736e-05,1.0000000116860974e-07,6,False
0,0,250,106101,random_unseen_control,0.0,0.0,0.0,0.0,-1.3040207704761997e-05,-1.101621182897361e-05,1.0000000116860974e-07,6,False
0,0,250,106988,large_only_random,-2.1855036417643228e-07,0.0,1.1920928955078125e-07,0.3333333333333333,5.1576826081145555e-05,5.483270433614962e-05,0.0007366622467088746,6,False
0,0,250,107916,large_only_random,2.9802322387695312e-08,0.0,1.1920928955078125e-07,0.16666666666666666,2.5478951215518464e-07,3.055824208786362e-06,2.1988792391643603e-05,6,False
0,0,250,108094,large_only_random,0.0,0.0,0.0,0.0,-6.121578371676151e-05,-5.87462964176666e-05,1.0000000116860974e-07,6,False
0,0,250,114246,large_top_signal,3.6656856536865234e-06,3.069639205932617e-06,9.953975677490234e-06,0.8333333333333334,0.0003582113907517244,0.00035950198071077466,0.004986067870049737,6,False
0,0,250,114267,random_unseen_control,0.0,0.0,0.0,0.0,-5.5635367364933096e-05,-5.5080749007174745e-05,1.0000000116860974e-07,6,False
0,0,250,122923,random_unseen_control,3.178914388020833e-07,5.960464477539063e-08,1.6689300537109375e-06,0.5,7.256379376485711e-06,8.803225682640914e-06,0.00010976209584138512,6,False
0,0,250,131693,random_unseen_control,0.0,0.0,0.0,0.0,-2.9101302061462775e-05,-2.740032141446136e-05,1.0000000116860974e-07,6,False
0,0,250,134000,random_unseen_control,0.0,0.0,0.0,0.0,-8.178090865840204e-06,-4.379530764708761e-06,1.0000000116860974e-07,6,False
0,0,250,139013,random_unseen_control,0.0,0.0,0.0,0.0,-1.5531195458606817e-05,-1.4208259926817846e-05,1.0000000116860974e-07,6,False
0,0,250,142836,random_unseen_control,0.0,0.0,0.0,0.0,-6.122497385755803e-05,-5.9791142120957375e-05,1.0000000116860974e-07,6,False
0,0,250,149087,random_unseen_control,0.0,0.0,0.0,0.0,-3.190163685455142e-05,-3.142728019156493e-05,1.0000000116860974e-07,6,False
0,0,250,166355,random_unseen_control,0.0,0.0,0.0,0.0,-6.582251671716222e-06,-6.189002306200564e-06,1.0000000116860974e-07,6,False
0,0,250,169460,random_unseen_control,1.9868214925130207e-08,0.0,5.960464477539063e-08,0.0,2.502289059217825e-06,2.6865805011766497e-06,3.516873618991667e-05,6,False
0,0,250,180237,random_unseen_control,-2.384185791015625e-07,0.0,1.1920928955078125e-07,0.16666666666666666,2.8461248196739084e-06,3.0204544145817636e-06,4.007003508377238e-05,6,False
0,0,250,181487,random_unseen_control,-2.7815500895182293e-07,0.0,0.0,0.0,5.346595571609214e-06,5.675311513186898e-06,7.644648871973914e-05,6,False
0,0,250,185672,large_only_random,0.0,0.0,0.0,0.0,-5.3515784505483076e-05,-5.33396887476556e-05,1.0000000116860974e-07,6,False
0,0,250,187622,random_unseen_control,-2.384185791015625e-07,0.0,1.1920928955078125e-07,0.16666666666666666,3.10566277524534e-06,4.09911444876343e-06,4.865670166509517e-05,6,False
0,0,250,188805,random_unseen_control,0.0,0.0,0.0,0.0,-6.1220287079777336e-06,-5.8192490541841835e-06,1.0000000116860974e-07,6,False
0,0,250,193978,random_unseen_control,0.0,0.0,0.0,0.0,-8.876681628559405e-06,-7.728135642537382e-06,1.0000000116860974e-07,6,False
0,0,250,200811,random_unseen_control,-3.178914388020833e-07,-8.940696716308594e-08,5.960464477539063e-08,0.0,7.327218933520878e-06,8.41279234009562e-06,0.00010786755622878748,6,False
0,0,250,210402,random_unseen_control,-5.960464477539063e-08,-5.960464477539063e-08,1.1920928955078125e-07,0.16666666666666666,2.5687577741943337e-06,3.7811396396136843e-06,4.2718222308243035e-05,6,False
0,0,250,211500,random_unseen_control,0.0,0.0,0.0,0.0,-0.00028009605982030433,-0.00027561874594539404,1.0000000116860974e-07,6,False
0,0,250,220100,large_top_signal,1.3053417205810547e-05,1.6927719116210938e-05,2.199411392211914e-05,0.8333333333333334,0.0004204647460331519,0.0005259215249679983,0.006179664453763205,6,True
0,0,250,227201,large_only_random,-2.7815500895182293e-07,-2.9802322387695312e-08,5.960464477539063e-08,0.0,3.2946124216929698e-06,3.674367690109648e-06,4.767309436222907e-05,6,False
0,0,250,231336,random_unseen_control,0.0,0.0,0.0,0.0,-3.4496137838383824e-05,-3.308207305963151e-05,1.0000000116860974e-07,6,False
0,0,250,250686,random_unseen_control,0.0,0.0,0.0,0.0,-3.563036322399663e-05,-3.5045894037466496e-05,1.0000000116860974e-07,6,False
0,0,250,251044,large_only_random,0.0,0.0,0.0,0.0,-3.235805373454544e-05,-2.566596958786249e-05,1.0000000116860974e-07,6,False
0,0,250,269727,random_unseen_control,1.2914339701334635e-07,0.0,1.9073486328125e-06,0.16666666666666666,4.342026780553473e-05,4.474483648664318e-05,0.000598327111826317,6,False
