candidate_set_size,scoring_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std
2500,endpoint,endpoint_label_asc,0,0.0,0.0
2500,endpoint,endpoint_label_asc,10,-0.00031621456146240233,0.0004330082244601947
2500,endpoint,endpoint_label_asc,20,-0.0007905125617980957,0.0007394472338751302
2500,endpoint,endpoint_label_asc,30,-0.0009486198425292969,0.00099209037827664
2500,endpoint,endpoint_label_asc,40,-0.001027679443359375,0.0011725218233798582
2500,endpoint,endpoint_label_asc,50,-0.0015019774436950684,0.0015908971678083835
2500,endpoint,endpoint_label_asc,60,-0.0009486198425292969,0.0015460573803904778
2500,endpoint,endpoint_label_asc,70,-0.00047430992126464846,0.0016392487804191545
2500,endpoint,endpoint_label_asc,80,-0.0003952503204345703,0.0013403713536303753
2500,endpoint,endpoint_label_asc,90,-0.0006324172019958497,0.0012684916133637613
2500,endpoint,endpoint_label_asc,100,-0.0005533695220947266,0.0011387214736461948
2500,endpoint,endpoint_label_asc,110,-0.0005533695220947266,0.0011387214736461948
2500,endpoint,endpoint_label_asc,120,-0.0005533456802368164,0.0013862251854826542
2500,endpoint,endpoint_label_asc,130,-0.00039526224136352537,0.0014522716091645135
2500,endpoint,endpoint_label_asc,140,-0.0007905125617980957,0.001745413250609099
2500,endpoint,endpoint_label_asc,150,-0.0007905125617980957,0.001976278424440521
2500,endpoint,endpoint_label_asc,160,-0.0008695602416992187,0.002442935424919188
2500,endpoint,endpoint_label_asc,170,-0.001264810562133789,0.0023450416373541286
2500,endpoint,endpoint_label_asc,180,-0.001185774803161621,0.002253323173588768
2500,endpoint,endpoint_label_asc,190,-0.00102766752243042,0.002364927557096357
2500,endpoint,endpoint_label_asc,200,-0.001106703281402588,0.002521591205488593
2500,endpoint,endpoint_label_asc,210,-0.0014229297637939453,0.0028856159256495473
2500,endpoint,endpoint_label_asc,220,-0.0011067152023315429,0.0031792867159791856
2500,endpoint,endpoint_label_asc,230,-0.001185774803161621,0.0035241988758446374
2500,endpoint,endpoint_label_asc,240,-0.0008695721626281738,0.003815801244204448
2500,endpoint,endpoint_label_asc,250,-0.00047430992126464846,0.004413789401496298
2500,endpoint,endpoint_label_asc,260,-0.0007905006408691406,0.004098088535135814
2500,endpoint,endpoint_label_asc,270,-0.0007114529609680176,0.0037642742849661424
2500,endpoint,endpoint_label_asc,280,-0.0005533456802368164,0.003429854270543172
2500,endpoint,endpoint_label_asc,290,-0.0006324052810668945,0.0031322590566700637
2500,endpoint,endpoint_label_asc,300,-0.0006324052810668945,0.0030565389218168183
2500,endpoint,endpoint_label_asc,310,-0.00102766752243042,0.0031694367309909512
2500,endpoint,endpoint_label_asc,320,-0.0003161907196044922,0.002758303839761511
2500,endpoint,endpoint_label_asc,330,-0.0001580953598022461,0.0028032469173041668
2500,endpoint,endpoint_label_asc,340,1.1920928955078126e-08,0.0025153918225916277
2500,endpoint,endpoint_label_asc,350,0.0001580953598022461,0.0024139584443099928
2500,endpoint,endpoint_label_asc,360,-0.00031620264053344727,0.0029098764143481145
2500,endpoint,endpoint_label_asc,370,-7.903575897216797e-05,0.003129763312309522
2500,endpoint,endpoint_label_asc,380,-0.00023715496063232423,0.0030179423131295987
2500,endpoint,endpoint_label_asc,390,-0.00023715496063232423,0.0028032330504234944
2500,endpoint,endpoint_label_asc,400,0.00015810728073120117,0.0030946264030160546
2500,endpoint,endpoint_label_asc,410,0.00039526224136352537,0.0029710028046791848
2500,endpoint,endpoint_label_asc,420,0.0003952503204345703,0.002780867232740687
2500,endpoint,endpoint_label_asc,430,0.00047430992126464846,0.0031422229612342385
2500,endpoint,endpoint_label_asc,440,0.0007114648818969726,0.0028829226045778197
2500,endpoint,endpoint_label_asc,450,0.00047430992126464846,0.002841994798436887
2500,endpoint,endpoint_label_asc,460,0.0001580953598022461,0.0025554537969435295
2500,endpoint,endpoint_label_asc,470,0.00023715496063232423,0.002939282692714036
2500,endpoint,endpoint_label_asc,480,0.00031620264053344727,0.003002377220458498
2500,endpoint,endpoint_label_asc,490,-7.904767990112305e-05,0.002923278256371135
2500,endpoint,endpoint_label_asc,500,7.904767990112305e-05,0.0025370417288653104
2500,endpoint,endpoint_label_asc,510,0.0,0.0023879232690845295
2500,endpoint,endpoint_label_asc,520,-0.00015810728073120117,0.0025706668971901426
2500,endpoint,endpoint_label_asc,530,7.904767990112305e-05,0.0027298378891386817
2500,endpoint,endpoint_label_asc,540,0.0003952503204345703,0.002651441967375336
2500,endpoint,endpoint_label_asc,550,0.00023715496063232423,0.0026307480271018746
2500,endpoint,endpoint_label_asc,560,0.0,0.0024683799325884597
2500,endpoint,endpoint_label_asc,570,0.00023715496063232423,0.003094624119245735
2500,endpoint,endpoint_label_asc,580,0.0007905244827270507,0.002752636767480789
2500,endpoint,endpoint_label_asc,590,0.0007114648818969726,0.00242687275199104
2500,endpoint,endpoint_label_asc,600,0.0007905244827270507,0.003124762073813383
2500,endpoint,endpoint_label_asc,610,0.0012648344039916993,0.0027298331425313297
2500,endpoint,endpoint_label_asc,620,0.0013438820838928222,0.002789275589186973
2500,endpoint,endpoint_label_asc,630,0.0015019893646240235,0.0028419923116566794
2500,endpoint,endpoint_label_asc,640,0.0013438820838928222,0.003157088962400414
2500,endpoint,endpoint_label_asc,650,0.0015019655227661132,0.0031546240642631586
2500,endpoint,endpoint_label_asc,660,0.0016600728034973145,0.0030411523981920506
2500,endpoint,endpoint_label_asc,670,0.0014229297637939453,0.0031694437924997703
2500,endpoint,endpoint_label_asc,680,0.0013438701629638673,0.003290376506922909
2500,endpoint,endpoint_label_asc,690,0.0012648224830627442,0.00305397898454311
2500,endpoint,endpoint_label_asc,700,0.0012648224830627442,0.0023450235537626103
2500,endpoint,endpoint_label_asc,710,0.0009486079216003418,0.0022113120273792503
2500,endpoint,endpoint_label_asc,720,0.0008695602416992187,0.0023450295815661943
2500,endpoint,endpoint_label_asc,730,0.0013438701629638673,0.002397728185940984
2500,endpoint,endpoint_label_asc,740,0.0012648224830627442,0.0027724325253300464
2500,endpoint,endpoint_label_asc,750,0.0009486198425292969,0.003107220126521699
2500,endpoint,endpoint_label_asc,760,0.0007114529609680176,0.002744126878376115
2500,endpoint,endpoint_label_asc,770,0.0008695602416992187,0.002814385511214773
2500,endpoint,endpoint_label_asc,780,0.0009486198425292969,0.002718365445722538
2500,endpoint,endpoint_label_asc,790,0.0007114648818969726,0.002786495068916563
2500,endpoint,endpoint_label_asc,800,0.0006324052810668945,0.0027752479331110817
2500,endpoint,endpoint_label_asc,810,0.0008695721626281738,0.0034840758010695775
2500,endpoint,endpoint_label_asc,820,0.0006324291229248047,0.00318175324051498
2500,endpoint,endpoint_label_asc,830,0.001106727123260498,0.0026426120190952383
2500,endpoint,endpoint_label_asc,840,0.0012648344039916993,0.0025523788816494983
2500,endpoint,endpoint_label_asc,850,0.001264810562133789,0.0029762505540539656
2500,endpoint,endpoint_label_asc,860,0.0009486198425292969,0.003169436359346905
2500,endpoint,endpoint_label_asc,870,0.0006324052810668945,0.003714132844459343
2500,endpoint,endpoint_label_asc,880,0.0006324172019958497,0.0034184328124388895
2500,endpoint,endpoint_label_asc,890,0.00023715496063232423,0.00351978256784543
2500,endpoint,endpoint_label_asc,900,0.00039526224136352537,0.0036654379605427882
2500,endpoint,endpoint_label_asc,910,0.0005533814430236817,0.0035086578875659223
2500,endpoint,endpoint_label_asc,920,7.904767990112305e-05,0.002923278256371135
2500,endpoint,endpoint_label_asc,930,7.905960083007813e-05,0.003129764441374461
2500,endpoint,endpoint_label_asc,940,0.0001580953598022461,0.003325794555440556
2500,endpoint,endpoint_label_asc,950,0.00039526224136352537,0.0031743716670974797
2500,endpoint,endpoint_label_asc,960,0.00047429800033569334,0.003299846948194398
2500,endpoint,endpoint_label_asc,970,0.0005533576011657714,0.0030946142223715945
2500,endpoint,endpoint_label_asc,980,0.0005533695220947266,0.0034070076401295883
2500,endpoint,endpoint_label_asc,990,0.0007905125617980957,0.0035019926893966125
2500,endpoint,endpoint_label_asc,1000,0.001106727123260498,0.0032521831172404652
2500,endpoint,endpoint_label_asc,1010,0.0018181920051574707,0.0032183753256649814
2500,endpoint,endpoint_label_asc,1020,0.0019762873649597167,0.003318750413215507
2500,endpoint,endpoint_label_asc,1030,0.0015810370445251466,0.003211075004671439
2500,endpoint,endpoint_label_asc,1040,0.00102766752243042,0.003278499715711489
2500,endpoint,endpoint_label_asc,1050,0.0009486198425292969,0.003766373680954066
2500,endpoint,endpoint_label_asc,1060,0.0013438820838928222,0.0038382719696451015
2500,endpoint,endpoint_label_asc,1070,0.0013438582420349122,0.0038888064645372523
2500,endpoint,endpoint_label_asc,1080,0.0018181920051574707,0.00428083418130421
2500,endpoint,endpoint_label_asc,1090,0.00205533504486084,0.00428812239351461
2500,endpoint,endpoint_label_asc,1100,0.0017391204833984374,0.0042990526432025175
2500,endpoint,endpoint_label_asc,1110,0.0015810251235961914,0.004392516740822918
2500,endpoint,endpoint_label_asc,1120,0.0012648224830627442,0.0044137939385435095
2500,endpoint,endpoint_label_asc,1130,0.0014229297637939453,0.0043262217834887
2500,endpoint,endpoint_label_asc,1140,0.00205533504486084,0.004501431349708973
2500,endpoint,endpoint_label_asc,1150,0.002450597286224365,0.004315373725776745
2500,endpoint,endpoint_label_asc,1160,0.00245058536529541,0.004836045714733251
2500,endpoint,endpoint_label_asc,1170,0.00205533504486084,0.0042515286898907765
2500,endpoint,endpoint_label_asc,1180,0.002213454246520996,0.004308116850831281
2500,endpoint,endpoint_label_asc,1190,0.0024506092071533204,0.004082852728216602
2500,endpoint,endpoint_label_asc,1200,0.002213442325592041,0.004026980378730951
2500,endpoint,endpoint_label_asc,1210,0.002213418483734131,0.0045890599463190235
2500,endpoint,endpoint_label_asc,1220,0.0023715376853942873,0.004523913347883984
2500,endpoint,endpoint_label_asc,1230,0.0025296449661254884,0.0045291003779660425
2500,endpoint,endpoint_label_asc,1240,0.0027667999267578123,0.004021143353451694
2500,endpoint,endpoint_label_asc,1250,0.0028458476066589356,0.004111423869529365
2500,endpoint,endpoint_label_asc,1260,0.0030830025672912596,0.004475296794460649
2500,endpoint,endpoint_label_asc,1270,0.0028458595275878905,0.004595855036268735
2500,endpoint,endpoint_label_asc,1280,0.0026877522468566895,0.004663361920705813
2500,endpoint,endpoint_label_asc,1290,0.0029249191284179688,0.004424402552855884
2500,endpoint,endpoint_label_asc,1300,0.003162050247192383,0.004480526436124805
2500,endpoint,endpoint_label_asc,1310,0.0037944674491882323,0.004861813458836086
2500,endpoint,endpoint_label_asc,1320,0.003952574729919433,0.004401391952095126
2500,endpoint,endpoint_label_asc,1330,0.004189729690551758,0.004739781964892747
2500,endpoint,endpoint_label_asc,1340,0.004189705848693848,0.0048938410733749445
2500,endpoint,endpoint_label_asc,1350,0.0043478250503540036,0.004302664793504676
2500,endpoint,endpoint_label_asc,1360,0.004189729690551758,0.004756233619807642
2500,endpoint,endpoint_label_asc,1370,0.00411067008972168,0.0046482461368221725
2500,endpoint,endpoint_label_asc,1380,0.0037154197692871095,0.004459568960148683
2500,endpoint,endpoint_label_asc,1390,0.0037944555282592774,0.004877844617308227
2500,endpoint,endpoint_label_asc,1400,0.003715407848358154,0.004901804345693945
2500,endpoint,endpoint_label_asc,1410,0.0037154197692871095,0.004262547801639605
2500,endpoint,endpoint_label_asc,1420,0.004031622409820556,0.004149242034396472
2500,endpoint,endpoint_label_asc,1430,0.004031622409820556,0.0041303733836708535
2500,endpoint,endpoint_label_asc,1440,0.0038735151290893556,0.004092398413392274
2500,endpoint,endpoint_label_asc,1450,0.003952574729919433,0.004098098595466494
2500,endpoint,endpoint_label_asc,1460,0.0038735151290893556,0.004510081268147602
2500,endpoint,endpoint_label_asc,1470,0.004189717769622803,0.004234952383522346
2500,endpoint,endpoint_label_asc,1480,0.0043478250503540036,0.0038524755682660702
2500,endpoint,endpoint_label_asc,1490,0.0047430872917175295,0.004117112302522973
2500,endpoint,endpoint_label_asc,1500,0.004268789291381836,0.003826022810106893
2500,endpoint,endpoint_label_asc,1510,0.004584980010986328,0.004225744063628294
2500,endpoint,endpoint_label_asc,1520,0.004664039611816407,0.0038565448138183633
2500,endpoint,endpoint_label_asc,1530,0.004505932331085205,0.004094303383802987
2500,endpoint,endpoint_label_asc,1540,0.00553358793258667,0.003665473310932129
2500,endpoint,endpoint_label_asc,1550,0.005533599853515625,0.004320787936869191
2500,endpoint,endpoint_label_asc,1560,0.005533599853515625,0.0043657504754131705
2500,endpoint,endpoint_label_asc,1570,0.005928850173950196,0.004126608425887005
2500,endpoint,endpoint_label_asc,1580,0.005928850173950196,0.003707855452186358
2500,endpoint,endpoint_label_asc,1590,0.006324112415313721,0.003892817761821333
2500,endpoint,endpoint_label_asc,1600,0.006324112415313721,0.00341159341847025
2500,endpoint,endpoint_label_asc,1610,0.006166017055511475,0.003838275652383813
2500,endpoint,endpoint_label_asc,1620,0.0060079097747802734,0.0041398496165066575
2500,endpoint,endpoint_label_asc,1630,0.0060079097747802734,0.004196071803802457
2500,endpoint,endpoint_label_asc,1640,0.00553361177444458,0.004266211016703328
2500,endpoint,endpoint_label_asc,1650,0.005375504493713379,0.004397833035068964
2500,endpoint,endpoint_label_asc,1660,0.0052173852920532225,0.004025011646099407
2500,endpoint,endpoint_label_asc,1670,0.005138325691223145,0.004173661957969303
2500,endpoint,endpoint_label_asc,1680,0.005296432971954345,0.004271705464489526
2500,endpoint,endpoint_label_asc,1690,0.005533599853515625,0.0046094468535099135
2500,endpoint,endpoint_label_asc,1700,0.0051383495330810545,0.004881047764722144
2500,endpoint,endpoint_label_asc,1710,0.004980242252349854,0.004698402938351065
2500,endpoint,endpoint_label_asc,1720,0.005296432971954345,0.005233244334092695
2500,endpoint,endpoint_label_asc,1730,0.005217397212982177,0.005283759153587877
2500,endpoint,endpoint_label_asc,1740,0.005059289932250977,0.00516412909579199
2500,endpoint,endpoint_label_asc,1750,0.005296432971954345,0.004739787183946416
2500,endpoint,endpoint_label_asc,1760,0.004822134971618652,0.0051641259023843915
2500,endpoint,endpoint_label_asc,1770,0.0051383376121521,0.005123114289745012
2500,endpoint,endpoint_label_asc,1780,0.005533599853515625,0.004865037572501265
2500,endpoint,endpoint_label_asc,1790,0.005533599853515625,0.004905002893502967
2500,endpoint,endpoint_label_asc,1800,0.0059288620948791506,0.00422018531117874
2500,endpoint,endpoint_label_asc,1810,0.006324124336242676,0.004701719065684304
2500,endpoint,endpoint_label_asc,1820,0.00656125545501709,0.0052778352886890985
2500,endpoint,endpoint_label_asc,1830,0.006482219696044922,0.00518825721209412
2500,endpoint,endpoint_label_asc,1840,0.006324124336242676,0.005368819376828717
2500,endpoint,endpoint_label_asc,1850,0.006166005134582519,0.004772645595127232
2500,endpoint,endpoint_label_asc,1860,0.006166017055511475,0.004988687996077024
2500,endpoint,endpoint_label_asc,1870,0.006640326976776123,0.004852157881607132
