seed,repeat,small_block_size,linear_id,primary_group,mean_one_step_delta_loss,median_one_step_delta_loss,max_one_step_delta_loss,probability_one_step_positive,mean_gradient_at_eps,max_gradient_at_eps,mean_candidate_post_step_weight,n_checkpoints,robustly_harmful
0,0,1000,1447,random_unseen_control,-9.934107462565104e-09,0.0,1.7881393432617188e-07,0.0,1.5420954412093124e-05,3.8014397432561964e-05,0.00028064717940168293,6,False
0,0,1000,6011,random_unseen_control,-3.0795733133951825e-07,0.0,0.0,0.0,-2.3143414637161186e-05,-1.4314180589281023e-05,1.0000000116860974e-07,6,False
0,0,1000,14149,random_unseen_control,0.0,0.0,0.0,0.0,-1.1180531600984978e-05,-1.0156234566238709e-05,1.0000000116860974e-07,6,False
0,0,1000,19674,large_top_signal,1.4007091522216797e-06,1.2814998626708984e-06,3.039836883544922e-06,0.0,0.0002561657844732205,0.000275472120847553,0.003137003821999921,6,False
0,0,1000,25559,random_unseen_control,2.284844716389974e-07,0.0,2.1457672119140625e-06,0.0,1.8699657024020173e-05,2.097987999150064e-05,0.00022807771637782062,6,False
0,0,1000,33574,random_unseen_control,6.953875223795573e-08,0.0,5.364418029785156e-07,0.0,2.0108830843431253e-05,2.1151518012629822e-05,0.0002401053702918432,6,False
0,0,1000,38360,random_unseen_control,5.861123402913412e-07,1.1920928955078125e-07,2.0265579223632812e-06,0.0,5.255301467362491e-05,0.00011108240869361907,0.0008557304654956965,6,False
0,0,1000,49749,random_unseen_control,-9.934107462565104e-09,0.0,0.0,0.0,-6.656206778643536e-06,-6.094058335293084e-06,1.0000000116860974e-07,6,False
0,0,1000,59411,large_only_random,-9.934107462565104e-09,0.0,0.0,0.0,-3.6892449012763486e-05,-3.325748548377305e-05,1.0000000116860974e-07,6,False
0,0,1000,71518,large_only_random,-2.9802322387695312e-08,0.0,0.0,0.0,7.022935430237945e-07,6.776510872441577e-06,1.9953805827791864e-05,6,False
0,0,1000,74591,random_unseen_control,-9.934107462565104e-09,0.0,0.0,0.0,8.945543186200666e-07,2.1097823719173903e-06,1.7286869548864086e-05,6,False
0,0,1000,81937,random_unseen_control,-9.934107462565104e-09,0.0,0.0,0.0,-1.2834154555700176e-05,-9.08715355762979e-06,1.0000000116860974e-07,6,False
0,0,1000,84718,large_final_missed,3.7749608357747394e-07,2.086162567138672e-07,1.3709068298339844e-06,0.0,7.783658293192275e-05,0.00011073768837377429,0.0009460568397668586,6,False
0,0,1000,84742,random_unseen_control,9.934107462565104e-09,-8.940696716308594e-08,1.8477439880371094e-06,0.0,5.0510088234053306e-05,6.132273119874299e-05,0.0006472079523464439,6,False
0,0,1000,86380,random_unseen_control,-4.967053731282552e-08,0.0,2.384185791015625e-07,0.0,2.6111946075009957e-05,2.7706782930181362e-05,0.00030042021765197546,6,False
0,0,1000,97232,random_unseen_control,-9.934107462565104e-09,0.0,0.0,0.0,-3.825988642347511e-06,-3.41290297001251e-06,1.0000000116860974e-07,6,False
0,0,1000,101022,random_unseen_control,0.0,0.0,0.0,0.0,3.042008718997143e-06,5.024913662055042e-06,4.000546083323305e-05,6,False
0,0,1000,104359,random_unseen_control,0.0,0.0,0.0,0.0,9.64817388648953e-07,2.605659119581105e-06,1.5654128130648814e-05,6,False
0,0,1000,107759,large_only_random,-9.934107462565104e-09,0.0,0.0,0.0,2.8736909977548447e-07,2.498570211173501e-06,1.1057935090263982e-05,6,False
0,0,1000,114246,large_top_signal,1.6788641611735027e-06,1.7881393432617188e-06,3.5762786865234375e-06,0.0,0.00033521132233242196,0.0003570698027033359,0.004105618107132614,6,False
0,0,1000,116062,large_final_missed,7.251898447672526e-07,6.258487701416016e-07,2.1457672119140625e-06,0.0,0.00016685636849918714,0.00017010448209475726,0.001985863879478226,6,False
