candidate_set_size,scoring_mode,group_1_n_mean,group_1_n_std,group_0_n_mean,group_0_n_std,group_1_prevalence_mean,group_1_prevalence_std,group_0_prevalence_mean,group_0_prevalence_std,group_1_raw_score_mean,group_1_raw_score_std,group_0_raw_score_mean,group_0_raw_score_std,group_1_min_confidence_mean,group_1_min_confidence_std,group_0_min_confidence_mean,group_0_min_confidence_std,difference_min_confidence_mean,difference_min_confidence_std,group_1_min_margin_mean,group_1_min_margin_std,group_0_min_margin_mean,group_0_min_margin_std,difference_min_margin_mean,difference_min_margin_std,group_1_both_clean_correct_mean,group_1_both_clean_correct_std,group_0_both_clean_correct_mean,group_0_both_clean_correct_std,difference_both_clean_correct_mean,difference_both_clean_correct_std,group_1_same_true_class_mean,group_1_same_true_class_std,group_0_same_true_class_mean,group_0_same_true_class_std,difference_same_true_class_mean,difference_same_true_class_std,group_1_same_clean_prediction_mean,group_1_same_clean_prediction_std,group_0_same_clean_prediction_mean,group_0_same_clean_prediction_std,difference_same_clean_prediction_mean,difference_same_clean_prediction_std,group_1_mean_degree_mean,group_1_mean_degree_std,group_0_mean_degree_mean,group_0_mean_degree_std,difference_mean_degree_mean,difference_mean_degree_std,group_1_mean_pagerank_mean,group_1_mean_pagerank_std,group_0_mean_pagerank_mean,group_0_mean_pagerank_std,difference_mean_pagerank_mean,difference_mean_pagerank_std
2500,endpoint,334.2,41.3726963104896,2165.8,41.37269631048962,0.13368,0.01654907852419584,0.86632,0.016549078524195834,,,,,0.6012605082040826,0.02414869665215182,0.71391890374708,0.005655122241279751,-0.11265839554299735,0.02003941364058569,0.4069718191912772,0.0361395960684054,0.5892968821674943,0.008445657484110643,-0.18232506297621712,0.03003508204042636,0.8871800322453449,0.01653433275614295,0.6966262459892685,0.01982210565136329,0.1905537862560764,0.007168005250361552,0.041457621408574695,0.010612676820274542,0.19630811768879614,0.009413006798331378,-0.15485049628022143,0.006490832157985422,0.027402322054439505,0.015400308899655704,0.19015107547715587,0.008385817967775926,-0.16274875342271636,0.009967701025459385,4.326423456620612,0.3776312392369972,5.937873968943164,0.11702559992248991,-1.611450512322552,0.4582201149520146,0.0002946174053292181,1.699846057295225e-05,0.0003667583235441075,5.6313057270888604e-06,-7.214091821488935e-05,2.0183673290730036e-05
2500,subset_accuracy_drop,250.0,0.0,250.0,0.0,,,,,0.004489069887923662,0.0014156589517197128,0.0033210859751875454,0.0012711953143795971,0.6631602362632751,0.02770786764291181,0.6664927333116532,0.0201078474480882,-0.0033324970483779915,0.03544057753770164,0.5130192618727685,0.04068560650496975,0.5185575680732727,0.024195600303134307,-0.005538306200504295,0.04979132649532828,0.8119999999999999,0.02925747767665559,0.6128,0.05347148772944325,0.1992,0.06483209081928484,0.12,0.01264911064067352,0.2616,0.04172289539329697,-0.1416,0.039354796403996306,0.128,0.010198039027185565,0.1752,0.03840833242930497,-0.0472,0.03913055072446592,4.8412,0.37219779687687565,5.7504,0.379429571857545,-0.9092,0.44557064535267593,0.00031924052414168734,1.6416138784151333e-05,0.00035901689905702054,1.6519518629906255e-05,-3.977637491533327e-05,1.5474285912641755e-05
5000,endpoint,652.8,68.78735348884997,4347.2,68.78735348884999,0.13056,0.013757470697769997,0.86944,0.013757470697770004,,,,,0.6011071095059266,0.021601028951260322,0.716367787522529,0.009869349376105731,-0.11526067801660236,0.015721462149308377,0.4077160471224689,0.027802227383555783,0.5921572077997661,0.01314135037927506,-0.1844411606772972,0.018086444657041612,0.8841531955528584,0.014858066508564142,0.6955641836732132,0.012066927487788646,0.1885890118796452,0.010719046390077423,0.040321917336001475,0.005120269071724635,0.18885960270322796,0.006458911801087958,-0.1485376853672265,0.008049743923480936,0.02349603601397386,0.0033905930595669862,0.1793218783987561,0.006943533827345096,-0.15582584238478225,0.009452796179146869,4.1276757970998705,0.1649913350909452,5.878203728201067,0.05330485384997498,-1.7505279311011954,0.20985850127586603,0.00028399469260571446,7.249265454829115e-06,0.00036450118113525663,2.992621251960814e-06,-8.050648852954222e-05,9.938048996421106e-06
5000,subset_accuracy_drop,500.0,0.0,500.0,0.0,,,,,0.007252685477003584,0.0012612724792233543,0.005897345015244396,0.0012153473612798646,0.6791180328965187,0.01823274492988532,0.686344329816103,0.010845613610698062,-0.007226296919584274,0.01254465932833065,0.53371188570261,0.024289052642112386,0.544530133396387,0.013726967089316925,-0.010818247693777084,0.01735273561587322,0.7896000000000001,0.024347484469653125,0.6376000000000001,0.024592681838303064,0.15200000000000002,0.029017236257093845,0.11359999999999999,0.018132843130629014,0.23359999999999997,0.023554192832699664,-0.12000000000000002,0.03307567081708247,0.1244,0.018406520583749662,0.1688,0.018471599822430112,-0.0444,0.023554192832699664,5.0884,0.1226653985441699,5.765,0.3012349581306923,-0.6765999999999999,0.34872668380839467,0.0003296444215935229,4.6683502775898805e-06,0.0003613428240000485,1.5665329689490257e-05,-3.169840240652554e-05,1.8819806931381354e-05
10000,endpoint,1328.0,84.45116932286966,8672.0,84.45116932286957,0.13279999999999997,0.008445116932286962,0.8672000000000001,0.008445116932286936,,,,,0.6021458660190058,0.014293522896093747,0.7138866543656023,0.005327648635747351,-0.11174078834659655,0.012505039002245083,0.40939733220753477,0.019174998168251255,0.5888374648748282,0.005598088559465269,-0.1794401326672935,0.01588836457976904,0.8841240930829178,0.016551043489881758,0.6952624956726307,0.01874050007515399,0.18886159741028713,0.012152550030773878,0.041901446478721335,0.00697812099860193,0.19151161059173427,0.003410493411076462,-0.14961016411301295,0.007571123225651418,0.02316075714231531,0.008423798067874891,0.1826946450062314,0.0040139639611618165,-0.15953388786391606,0.009966997089901628,4.153257152714953,0.24884634041455153,5.926053094372013,0.02136163967079661,-1.7727959416570598,0.24845055995147555,0.000283966273523925,1.2343957764361901e-05,0.00036700011657443124,1.6323697112102115e-06,-8.303384305050625e-05,1.2038697741217601e-05
10000,subset_accuracy_drop,1000.0,0.0,1000.0,0.0,,,,,0.013205282259703483,0.00254768383738251,0.011491656916569476,0.002511824927969965,0.6810335557073355,0.01028225858253675,0.6897703507006169,0.002802042442066729,-0.008736794993281371,0.010072937667717068,0.5390517493903637,0.01426509314352767,0.5522103341400623,0.005505112364471098,-0.013158584749698643,0.01462639821065901,0.7535999999999999,0.016024980499208107,0.6656,0.029921564130238897,0.08800000000000001,0.016777961735562476,0.1322,0.005069516742254634,0.23279999999999998,0.011497825881443843,-0.10059999999999998,0.015533834040570921,0.1392,0.007049822692805817,0.1778,0.008043631020876081,-0.038599999999999995,0.009555103348472998,5.5159,0.23041603676827685,5.7588,0.19047985457785266,-0.2429000000000002,0.20322998056389183,0.00034905202499983535,1.0885596559863815e-05,0.0003609097068894943,1.0750996369940413e-05,-1.1857681889658889e-05,1.2669858316314063e-05
