candidate_set_size,scoring_mode,block,mean,std
2500,endpoint,group_harmful,0.3807531380753138,0.051415086725709234
2500,endpoint,group_nonharmful,0.31213389121338914,0.046082125195843905
2500,endpoint,group_random,0.32552301255230126,0.055065050632174393
2500,subset_accuracy_drop,group_harmful,0.37927077106993423,0.1413705321472898
2500,subset_accuracy_drop,group_nonharmful,0.202510460251046,0.02284074320327394
2500,subset_accuracy_drop,group_random,0.2485355648535565,0.008676335294279379
5000,endpoint,group_harmful,0.5163179916317991,0.04084590748741682
5000,endpoint,group_nonharmful,0.3757322175732217,0.03150602610379364
5000,endpoint,group_random,0.3941422594142259,0.023183088162669577
5000,subset_accuracy_drop,group_harmful,0.5313807531380753,0.03060405614712929
5000,subset_accuracy_drop,group_nonharmful,0.35648535564853556,0.02428941468401674
5000,subset_accuracy_drop,group_random,0.4443514644351464,0.014614434474119637
10000,endpoint,group_harmful,0.596652719665272,0.03714199334087391
10000,endpoint,group_nonharmful,0.298744769874477,0.03275912825282573
10000,endpoint,group_random,0.3414225941422594,0.03419718283130134
10000,subset_accuracy_drop,group_harmful,0.47531380753138075,0.02907874536216577
10000,subset_accuracy_drop,group_nonharmful,0.2644351464435146,0.01993494435074743
10000,subset_accuracy_drop,group_random,0.37154811715481173,0.03299873498431859
