candidate_set_size,scoring_mode,block,resampling_enabled,prbcd_epoch,block_size_mean,block_size_std,accuracy_drop_mean,accuracy_drop_std,fraction_retained_mean,fraction_retained_std
2500,endpoint,group_harmful,False,-1,334.2,41.3726963104896,0.0,0.0,1.0,0.0
2500,endpoint,group_harmful,False,0,334.2,41.3726963104896,7.905960083007813e-05,0.00017678264173005349,1.0,0.0
2500,endpoint,group_harmful,False,1,334.2,41.3726963104896,0.0011067152023315429,0.0007070389372379285,1.0,0.0
2500,endpoint,group_harmful,False,2,334.2,41.3726963104896,0.0026877403259277345,0.0020614027292265164,1.0,0.0
2500,endpoint,group_harmful,False,3,334.2,41.3726963104896,0.004664039611816407,0.0033932280477298633,1.0,0.0
2500,endpoint,group_harmful,False,4,334.2,41.3726963104896,0.005770754814147949,0.0035528859515734563,1.0,0.0
2500,endpoint,group_harmful,False,5,334.2,41.3726963104896,0.006482219696044922,0.0031570964246243234,1.0,0.0
2500,endpoint,group_harmful,False,6,334.2,41.3726963104896,0.007747042179107666,0.003157097917010723,1.0,0.0
2500,endpoint,group_harmful,False,7,334.2,41.3726963104896,0.009090912342071534,0.003330479426045141,1.0,0.0
2500,endpoint,group_harmful,False,8,334.2,41.3726963104896,0.009802377223968506,0.00350644349748448,1.0,0.0
2500,endpoint,group_harmful,False,9,334.2,41.3726963104896,0.010592889785766602,0.0031793007952816343,1.0,0.0
2500,endpoint,group_harmful,False,10,334.2,41.3726963104896,0.011620557308197022,0.0034751264429498403,1.0,0.0
2500,endpoint,group_harmful,False,11,334.2,41.3726963104896,0.012252962589263916,0.003174388365594822,1.0,0.0
2500,endpoint,group_harmful,False,12,334.2,41.3726963104896,0.013359689712524414,0.0037539090620651344,1.0,0.0
2500,endpoint,group_harmful,False,13,334.2,41.3726963104896,0.013754940032958985,0.003764306203882663,1.0,0.0
2500,endpoint,group_harmful,False,14,334.2,41.3726963104896,0.014229238033294678,0.0040405381592201065,1.0,0.0
2500,endpoint,group_harmful,False,15,334.2,41.3726963104896,0.01517786979675293,0.003429872129338449,1.0,0.0
2500,endpoint,group_harmful,False,16,334.2,41.3726963104896,0.0158893346786499,0.0034616006653089117,1.0,0.0
2500,endpoint,group_harmful,False,17,334.2,41.3726963104896,0.01620553731918335,0.003770508983383733,1.0,0.0
2500,endpoint,group_harmful,False,18,334.2,41.3726963104896,0.016996049880981447,0.003676115456263214,1.0,0.0
2500,endpoint,group_harmful,False,19,334.2,41.3726963104896,0.017549407482147217,0.004055976775134769,1.0,0.0
2500,endpoint,group_harmful,False,20,334.2,41.3726963104896,0.017865610122680665,0.003986044545542315,1.0,0.0
2500,endpoint,group_harmful,False,21,334.2,41.3726963104896,0.01810276508331299,0.003906848386447239,1.0,0.0
2500,endpoint,group_harmful,False,22,334.2,41.3726963104896,0.018577075004577635,0.0037393260436660125,1.0,0.0
2500,endpoint,group_harmful,False,23,334.2,41.3726963104896,0.019446635246276857,0.004044383241402606,1.0,0.0
2500,endpoint,group_harmful,False,24,334.2,41.3726963104896,0.019762861728668212,0.00395258069052323,1.0,0.0
2500,endpoint,group_harmful,False,25,334.2,41.3726963104896,0.02007904052734375,0.0041774039648635256,1.0,0.0
2500,endpoint,group_harmful,False,26,334.2,41.3726963104896,0.020474302768707275,0.0040055578362782245,1.0,0.0
2500,endpoint,group_harmful,False,27,334.2,41.3726963104896,0.021027660369873045,0.0037746616005304716,1.0,0.0
2500,endpoint,group_harmful,False,28,334.2,41.3726963104896,0.02134387493133545,0.003922827300102753,1.0,0.0
2500,endpoint,group_harmful,False,29,334.2,41.3726963104896,0.021739137172698975,0.003306949523644535,1.0,0.0
2500,endpoint,group_harmful,False,30,334.2,41.3726963104896,0.022292494773864746,0.004132288213616698,1.0,0.0
2500,endpoint,group_harmful,False,31,334.2,41.3726963104896,0.02237154245376587,0.0038787445841522634,1.0,0.0
2500,endpoint,group_harmful,False,32,334.2,41.3726963104896,0.022687757015228273,0.004084739656742227,1.0,0.0
2500,endpoint,group_harmful,False,33,334.2,41.3726963104896,0.023241114616394044,0.004387163395323767,1.0,0.0
2500,endpoint,group_harmful,False,34,334.2,41.3726963104896,0.023636364936828615,0.004621286191069589,1.0,0.0
2500,endpoint,group_harmful,False,35,334.2,41.3726963104896,0.02371542453765869,0.0046263696506147305,1.0,0.0
2500,endpoint,group_harmful,False,36,334.2,41.3726963104896,0.023952579498291014,0.004299064151351032,1.0,0.0
2500,endpoint,group_harmful,False,37,334.2,41.3726963104896,0.02411067485809326,0.004463091581185331,1.0,0.0
2500,endpoint,group_harmful,False,38,334.2,41.3726963104896,0.02411067485809326,0.00423868196782004,1.0,0.0
2500,endpoint,group_harmful,False,39,334.2,41.3726963104896,0.024189722537994385,0.004233150222539903,1.0,0.0
2500,endpoint,group_harmful,False,40,334.2,41.3726963104896,0.02466404438018799,0.004380048861420272,1.0,0.0
2500,endpoint,group_harmful,False,41,334.2,41.3726963104896,0.024822139739990236,0.004324412167914215,1.0,0.0
2500,endpoint,group_harmful,False,42,334.2,41.3726963104896,0.024901199340820312,0.004427952086221169,1.0,0.0
2500,endpoint,group_harmful,False,43,334.2,41.3726963104896,0.02505929470062256,0.004529111301540502,1.0,0.0
2500,endpoint,group_harmful,False,44,334.2,41.3726963104896,0.025217390060424803,0.004449070146898189,1.0,0.0
2500,endpoint,group_harmful,False,45,334.2,41.3726963104896,0.025296437740325927,0.004558335114524777,1.0,0.0
2500,endpoint,group_harmful,False,46,334.2,41.3726963104896,0.02553359270095825,0.004529112081878857,1.0,0.0
2500,endpoint,group_harmful,False,47,334.2,41.3726963104896,0.02632410526275635,0.004563456174415221,1.0,0.0
2500,endpoint,group_harmful,False,48,334.2,41.3726963104896,0.02664031982421875,0.0045720328046789825,1.0,0.0
2500,endpoint,group_harmful,False,49,334.2,41.3726963104896,0.02664031982421875,0.0045720328046789825,1.0,0.0
2500,endpoint,group_harmful,False,50,334.2,41.3726963104896,0.026798415184020995,0.00475460749146059,1.0,0.0
2500,endpoint,group_harmful,False,51,334.2,41.3726963104896,0.026798415184020995,0.00475460749146059,1.0,0.0
2500,endpoint,group_harmful,False,52,334.2,41.3726963104896,0.02703557014465332,0.004681742535541666,1.0,0.0
2500,endpoint,group_harmful,False,53,334.2,41.3726963104896,0.027351772785186766,0.0047216312862991385,1.0,0.0
2500,endpoint,group_harmful,False,54,334.2,41.3726963104896,0.027351772785186766,0.0047216312862991385,1.0,0.0
2500,endpoint,group_harmful,False,55,334.2,41.3726963104896,0.02750988006591797,0.0045634755340664655,1.0,0.0
2500,endpoint,group_harmful,False,56,334.2,41.3726963104896,0.027588927745819093,0.004587377896914289,1.0,0.0
2500,endpoint,group_harmful,False,57,334.2,41.3726963104896,0.027667975425720213,0.004660019509214443,1.0,0.0
2500,endpoint,group_harmful,False,58,334.2,41.3726963104896,0.027905142307281493,0.004706713903137892,1.0,0.0
2500,endpoint,group_harmful,False,59,334.2,41.3726963104896,0.027905142307281493,0.004706713903137892,1.0,0.0
2500,endpoint,group_harmful,False,60,334.2,41.3726963104896,0.027984201908111572,0.004819875044047512,1.0,0.0
2500,endpoint,group_harmful,False,61,334.2,41.3726963104896,0.027984201908111572,0.004787352618859412,1.0,0.0
2500,endpoint,group_harmful,False,62,334.2,41.3726963104896,0.028063249588012696,0.004897045303570737,1.0,0.0
2500,endpoint,group_harmful,False,63,334.2,41.3726963104896,0.028300392627716064,0.0049887014551981065,1.0,0.0
2500,endpoint,group_harmful,False,64,334.2,41.3726963104896,0.02822134494781494,0.004996523917797455,1.0,0.0
2500,endpoint,group_harmful,False,65,334.2,41.3726963104896,0.028300392627716064,0.005074086243315441,1.0,0.0
2500,endpoint,group_harmful,False,66,334.2,41.3726963104896,0.028300392627716064,0.005074086243315441,1.0,0.0
2500,endpoint,group_harmful,False,67,334.2,41.3726963104896,0.028300392627716064,0.005074086243315441,1.0,0.0
2500,endpoint,group_harmful,False,68,334.2,41.3726963104896,0.028379452228546143,0.0050338964955485895,1.0,0.0
2500,endpoint,group_harmful,False,69,334.2,41.3726963104896,0.028616607189178467,0.0048778605557310275,1.0,0.0
2500,endpoint,group_harmful,False,70,334.2,41.3726963104896,0.028616607189178467,0.0048778605557310275,1.0,0.0
2500,endpoint,group_harmful,False,71,334.2,41.3726963104896,0.028616607189178467,0.0048778605557310275,1.0,0.0
2500,endpoint,group_harmful,False,72,334.2,41.3726963104896,0.02869565486907959,0.004739793645598964,1.0,0.0
2500,endpoint,group_harmful,False,73,334.2,41.3726963104896,0.02869565486907959,0.004739793645598964,1.0,0.0
2500,endpoint,group_harmful,False,74,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,75,334.2,41.3726963104896,0.028853750228881835,0.004848951440418854,1.0,0.0
2500,endpoint,group_harmful,False,76,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,77,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,78,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,79,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,80,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,81,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,82,334.2,41.3726963104896,0.028774702548980714,0.004852171476609204,1.0,0.0
2500,endpoint,group_harmful,False,83,334.2,41.3726963104896,0.02893279790878296,0.0048521724476400995,1.0,0.0
2500,endpoint,group_harmful,False,84,334.2,41.3726963104896,0.028853750228881835,0.004848951440418854,1.0,0.0
2500,endpoint,group_harmful,False,85,334.2,41.3726963104896,0.02893279790878296,0.004803635469752261,1.0,0.0
2500,endpoint,group_harmful,False,86,334.2,41.3726963104896,0.02893279790878296,0.004654988992482686,1.0,0.0
2500,endpoint,group_harmful,False,87,334.2,41.3726963104896,0.029011845588684082,0.004656667109745792,1.0,0.0
2500,endpoint,group_harmful,False,88,334.2,41.3726963104896,0.029011845588684082,0.004656667109745792,1.0,0.0
2500,endpoint,group_harmful,False,89,334.2,41.3726963104896,0.029011845588684082,0.004656667109745792,1.0,0.0
2500,endpoint,group_harmful,False,90,334.2,41.3726963104896,0.029011845588684082,0.004656667109745792,1.0,0.0
2500,endpoint,group_harmful,False,91,334.2,41.3726963104896,0.029090893268585206,0.004731547009873032,1.0,0.0
2500,endpoint,group_harmful,False,92,334.2,41.3726963104896,0.029090893268585206,0.004731547009873032,1.0,0.0
2500,endpoint,group_harmful,False,93,334.2,41.3726963104896,0.029169952869415282,0.004811770064151695,1.0,0.0
2500,endpoint,group_harmful,False,94,334.2,41.3726963104896,0.029249000549316406,0.0049129751673049745,1.0,0.0
2500,endpoint,group_harmful,False,95,334.2,41.3726963104896,0.02916994094848633,0.004836047419740234,1.0,0.0
2500,endpoint,group_harmful,False,96,334.2,41.3726963104896,0.029249000549316406,0.0049129751673049745,1.0,0.0
2500,endpoint,group_harmful,False,97,334.2,41.3726963104896,0.02932804822921753,0.0049949646973861525,1.0,0.0
2500,endpoint,group_harmful,False,98,334.2,41.3726963104896,0.02932804822921753,0.0049949646973861525,1.0,0.0
2500,endpoint,group_harmful,False,99,334.2,41.3726963104896,0.02932804822921753,0.0049949646973861525,1.0,0.0
2500,endpoint,group_harmful,True,-1,334.2,41.3726963104896,0.0,0.0,1.0,0.0
2500,endpoint,group_harmful,True,0,334.2,41.3726963104896,7.905960083007813e-05,0.00017678264173005349,1.0,0.0
2500,endpoint,group_harmful,True,1,334.2,41.3726963104896,0.001185762882232666,0.0006249456295265594,0.5008850066101355,0.0008119627044084923
2500,endpoint,group_harmful,True,2,334.2,41.3726963104896,0.0027667880058288574,0.0019762843848151147,0.3931770731826229,0.028454563270040017
2500,endpoint,group_harmful,True,3,334.2,41.3726963104896,0.004743099212646484,0.003318736215552835,0.34629963739970737,0.026819022403780937
2500,endpoint,group_harmful,True,4,334.2,41.3726963104896,0.0060078978538513185,0.003381698563802683,0.3252426030413541,0.02408702179829391
2500,endpoint,group_harmful,True,5,334.2,41.3726963104896,0.0071936845779418945,0.003358514896491676,0.31689307805574085,0.02434673901434929
2500,endpoint,group_harmful,True,6,334.2,41.3726963104896,0.008063244819641113,0.003325771887468268,0.3094559175164756,0.02185033563001951
2500,endpoint,group_harmful,True,7,334.2,41.3726963104896,0.009090912342071534,0.0036760818104739786,0.3032644855074775,0.018645549081954847
2500,endpoint,group_harmful,True,8,334.2,41.3726963104896,0.009881424903869628,0.0038827756810411694,0.3003075494459443,0.0163266611007598
2500,endpoint,group_harmful,True,9,334.2,41.3726963104896,0.010592889785766602,0.003427579347077773,0.29749282130010624,0.013838459625687851
2500,endpoint,group_harmful,True,10,334.2,41.3726963104896,0.011936748027801513,0.0039367279316497045,0.295687662906306,0.014241001982588708
2500,endpoint,group_harmful,True,11,334.2,41.3726963104896,0.012806332111358643,0.003383995628603936,0.29377081305774444,0.0131718134955031
2500,endpoint,group_harmful,True,12,334.2,41.3726963104896,0.014071142673492432,0.0040366482684784715,0.29240190841466246,0.01341890232372638
2500,endpoint,group_harmful,True,13,334.2,41.3726963104896,0.014624512195587159,0.004229443054684274,0.2918699935210455,0.014105451904165655
2500,endpoint,group_harmful,True,14,334.2,41.3726963104896,0.015335965156555175,0.004233108481947558,0.29133807862742844,0.01485563670154425
2500,endpoint,group_harmful,True,15,334.2,41.3726963104896,0.015810286998748778,0.004676739163367367,0.29069910099164564,0.01495643904789247
2500,endpoint,group_harmful,True,16,334.2,41.3726963104896,0.016679847240448,0.0047298879878644035,0.2899691739843464,0.015188756702467119
2500,endpoint,group_harmful,True,17,334.2,41.3726963104896,0.017312252521514894,0.004721618812251553,0.28923924697704717,0.01558940427662344
2500,endpoint,group_harmful,True,18,334.2,41.3726963104896,0.017865610122680665,0.004963582270173172,0.28693731886315915,0.015274093903426458
2500,endpoint,group_harmful,True,19,334.2,41.3726963104896,0.018893277645111083,0.005386218096914634,0.28507635627137173,0.014631986236842618
2500,endpoint,group_harmful,True,20,334.2,41.3726963104896,0.019051384925842286,0.005141375722112079,0.2843464292640724,0.015192680908641756
2500,endpoint,group_harmful,True,21,334.2,41.3726963104896,0.019604742527008057,0.0051882574391607025,0.2848943744695519,0.016337003802729753
2500,endpoint,group_harmful,True,22,334.2,41.3726963104896,0.020079052448272704,0.005010571036526821,0.28361650225677315,0.015901824408171304
2500,endpoint,group_harmful,True,23,334.2,41.3726963104896,0.020790505409240722,0.005431010322275797,0.28365164743030247,0.014835673504032304
2500,endpoint,group_harmful,True,24,334.2,41.3726963104896,0.02134387493133545,0.005554729440510318,0.2807666289374057,0.014210804251015246
