run_id,use_cert_label,seed,epoch_idx,accuracy,loss,nonzero_weights,prob_mass_update,prob_mass_projected,attack__semi,attack__epsilon,attack__use_cert,attack__block_size,attack__epochs,attack__fine_tune_epochs,attack__keep_heuristic,attack__search_space_size,attack__do_synchronize,attack__loss_type,selector__accuracy_drop_selector_mode,selector__n_candidates_k_sample,selector__n_candidates_one_sample,selector__drop_mode,selector__acc_drop_threshold_k_samples,selector__loss_drop_threshold_k_samples,selector__k_samples_batch,selector__training_data_node_cap,selector__tau,selector__score_batch_size,selector__max_sampling_tries,selector__exclude_tried,selector__lp_hit_rate_detour,selector__lp_hit_rate_top_k,selector__lp_hit_rate_out_dir
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,12,0.7225296497344971,-0.46324217319488525,6337.0,446.16326904296875,446.0497741699219,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,13,0.7169960737228394,-0.45490989089012146,6359.0,471.6484375,471.49639892578125,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,14,0.709486186504364,-0.44630178809165955,6298.0,496.5523986816406,496.3770751953125,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,15,0.7055336236953735,-0.4372459650039673,6256.0,520.6350708007812,520.4359741210938,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,16,0.7023715376853943,-0.4295300543308258,6230.0,544.1272583007812,543.8800659179688,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,17,0.6984189748764038,-0.42241108417510986,6203.0,567.9832763671875,567.7381591796875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,18,0.6932806372642517,-0.41527119278907776,6211.0,591.3876342773438,591.1561889648438,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,19,0.6897233128547668,-0.40796154737472534,6173.0,613.8968505859375,613.68017578125,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,20,0.6853755116462708,-0.40121930837631226,6135.0,636.2241821289062,635.9970703125,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,21,0.6818181872367859,-0.39511165022850037,6072.0,657.7435302734375,657.4450073242188,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
