seed,candidate_set_size,scoring_mode,block_size,epsilon,use_cert,epoch,accuracy,loss,weights_above_eps,probability_mass_update,probability_mass_projected
0,2500,endpoint,10000,0.05,none,-1,0.7777721285820007,-0.5180400609970093,0,0.0,0.0
0,2500,endpoint,10000,0.05,none,0,0.7777721285820007,-0.5180442929267883,5362,3.4047813415527344,3.4047813415527344
0,2500,endpoint,10000,0.05,none,1,0.7776190042495728,-0.5178413987159729,7594,8.630433082580566,8.630433082580566
0,2500,endpoint,10000,0.05,none,2,0.7772618532180786,-0.5176041126251221,7555,14.869288444519043,14.869288444519043
0,2500,endpoint,10000,0.05,none,3,0.7768025994300842,-0.5171272158622742,7491,22.27496337890625,22.27496337890625
0,2500,endpoint,10000,0.05,none,4,0.7764453887939453,-0.5163111686706543,7514,31.024982452392578,31.024982452392578
0,2500,endpoint,10000,0.05,none,5,0.7753227353096008,-0.5151805877685547,7586,40.98580551147461,40.98580551147461
0,2500,endpoint,10000,0.05,none,6,0.7743021845817566,-0.5139083862304688,7566,51.665061950683594,51.665061950683594
0,2500,endpoint,10000,0.05,none,7,0.7737919092178345,-0.512597918510437,7590,62.98351287841797,62.98351287841797
0,2500,endpoint,10000,0.05,none,8,0.7729244232177734,-0.5111926198005676,7581,74.48210906982422,74.48210906982422
0,2500,endpoint,10000,0.05,none,9,0.7719548940658569,-0.5097888112068176,7563,86.36016845703125,86.36016845703125
0,2500,endpoint,10000,0.05,none,10,0.7710874080657959,-0.5083889365196228,7503,98.41395568847656,98.41395568847656
0,2500,endpoint,10000,0.05,none,11,0.770526111125946,-0.5069061517715454,7508,110.56281280517578,110.56281280517578
0,2500,endpoint,10000,0.05,none,12,0.7689442038536072,-0.5054550170898438,7559,122.89282989501953,122.89282989501953
0,2500,endpoint,10000,0.05,none,13,0.7681277990341187,-0.5040555000305176,7484,135.0528564453125,135.0528564453125
0,2500,endpoint,10000,0.05,none,14,0.7673113346099854,-0.5026406049728394,7447,147.17385864257812,147.17385864257812
0,2500,endpoint,10000,0.05,none,15,0.766494870185852,-0.5012314915657043,7460,159.2766571044922,159.2766571044922
0,2500,endpoint,10000,0.05,none,16,0.7659335732460022,-0.4998806416988373,7456,171.31936645507812,171.31936645507812
0,2500,endpoint,10000,0.05,none,17,0.7649640440940857,-0.49857914447784424,7413,183.39024353027344,183.39024353027344
0,2500,endpoint,10000,0.05,none,18,0.7639945149421692,-0.49726295471191406,7383,195.44454956054688,195.44454956054688
0,2500,endpoint,10000,0.05,none,19,0.7633821368217468,-0.4959490895271301,7364,207.36105346679688,207.36105346679688
0,2500,endpoint,10000,0.05,none,20,0.7624636292457581,-0.4946865737438202,7328,219.15354919433594,219.15354919433594
0,2500,endpoint,10000,0.05,none,21,0.7613410353660583,-0.4934144616127014,7373,231.05850219726562,231.05850219726562
0,2500,endpoint,10000,0.05,none,22,0.760524570941925,-0.4921278953552246,7376,242.7655792236328,242.7655792236328
0,2500,endpoint,10000,0.05,none,23,0.7598612308502197,-0.4909043610095978,7304,254.31260681152344,254.31260681152344
0,2500,endpoint,10000,0.05,none,24,0.7591978311538696,-0.48973992466926575,7351,265.77191162109375,265.77191162109375
0,2500,endpoint,10000,0.05,none,25,0.7583303451538086,-0.48854756355285645,7343,277.1610412597656,277.1610412597656
0,2500,endpoint,10000,0.05,none,26,0.7576159834861755,-0.4874386489391327,7304,288.38720703125,288.38720703125
0,2500,endpoint,10000,0.05,none,27,0.7571567296981812,-0.48633337020874023,7331,299.7034606933594,299.7034606933594
0,2500,endpoint,10000,0.05,none,28,0.7566974759101868,-0.48526057600975037,7274,310.7901611328125,310.7901611328125
0,2500,endpoint,10000,0.05,none,29,0.7561872005462646,-0.4841442406177521,7269,321.925537109375,321.925537109375
0,2500,endpoint,10000,0.05,none,30,0.75562584400177,-0.48308947682380676,7302,332.9346008300781,332.9346008300781
0,2500,endpoint,10000,0.05,none,31,0.754758358001709,-0.48210054636001587,7218,343.838623046875,343.838623046875
0,2500,endpoint,10000,0.05,none,32,0.7545032501220703,-0.48106449842453003,7219,354.6719055175781,354.6719055175781
0,2500,endpoint,10000,0.05,none,33,0.7539419531822205,-0.4800674021244049,7224,365.40557861328125,365.40557861328125
0,2500,endpoint,10000,0.05,none,34,0.753686785697937,-0.47911176085472107,7143,376.0483703613281,376.0483703613281
0,2500,endpoint,10000,0.05,none,35,0.752819299697876,-0.4781726896762848,7194,386.6894836425781,386.6894836425781
0,2500,endpoint,10000,0.05,none,36,0.7520538568496704,-0.47725337743759155,7145,397.1602478027344,397.1602478027344
0,2500,endpoint,10000,0.05,none,37,0.7513394951820374,-0.47635650634765625,7156,407.5747375488281,407.5747375488281
0,2500,endpoint,10000,0.05,none,38,0.7508292198181152,-0.4754885137081146,7179,418.0488586425781,418.0488586425781
0,2500,endpoint,10000,0.05,none,39,0.7502679228782654,-0.4745648205280304,7133,428.4036865234375,428.4036865234375
0,2500,endpoint,10000,0.05,none,40,0.7500637769699097,-0.4736773669719696,7175,438.7500915527344,438.7500915527344
0,2500,endpoint,10000,0.05,none,41,0.749655544757843,-0.47279489040374756,7128,449.0687561035156,449.0687561035156
0,2500,endpoint,10000,0.05,none,42,0.7492473125457764,-0.47194215655326843,7130,459.311279296875,459.311279296875
0,2500,endpoint,10000,0.05,none,43,0.748583972454071,-0.4710594713687897,7179,469.4057312011719,469.4057312011719
0,2500,endpoint,10000,0.05,none,44,0.7484309077262878,-0.47024521231651306,7129,479.44244384765625,479.44244384765625
0,2500,endpoint,10000,0.05,none,45,0.74771648645401,-0.4694305956363678,7085,489.3831481933594,489.3831481933594
0,2500,endpoint,10000,0.05,none,46,0.7473592758178711,-0.4686491787433624,7067,499.3023376464844,499.3023376464844
0,2500,endpoint,10000,0.05,none,47,0.7470531463623047,-0.4678627848625183,7043,509.230712890625,509.230712890625
