seed,candidate_set_size,scoring_mode,block_size,epsilon,use_cert,accuracy,runtime_seconds,status,error
0,10000,endpoint,4000,0.2,none,0.6656126379966736,34.35850998573005,ok,
0,10000,endpoint,4000,0.2,accuracy_drop_selector_with_resampling,0.6671936511993408,37.34766288660467,ok,
0,10000,endpoint,10000,0.05,none,0.7090908885002136,34.8687220197171,ok,
0,10000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7126482129096985,39.4589070584625,ok,
0,10000,endpoint,10000,0.1,none,0.6584980487823486,34.837614718824625,ok,
0,10000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6592885255813599,39.678716557100415,ok,
0,10000,endpoint,10000,0.2,none,0.612252950668335,34.92069884389639,ok,
0,10000,endpoint,10000,0.2,accuracy_drop_selector_with_resampling,0.6154150366783142,39.5587486512959,ok,
1,2500,endpoint,1000,0.05,none,0.761660099029541,33.259151397272944,ok,
1,2500,endpoint,1000,0.05,accuracy_drop_selector_with_resampling,0.752964437007904,36.369685772806406,ok,
1,2500,endpoint,1000,0.1,none,0.7549406886100769,33.19090808741748,ok,
1,2500,endpoint,1000,0.1,accuracy_drop_selector_with_resampling,0.7482213377952576,35.83608457446098,ok,
1,2500,endpoint,2000,0.05,none,0.7339920997619629,33.19329018332064,ok,
1,2500,endpoint,2000,0.05,accuracy_drop_selector_with_resampling,0.7256916761398315,36.36618687398732,ok,
1,2500,endpoint,2000,0.1,none,0.7134387493133545,34.337227512151,ok,
1,2500,endpoint,2000,0.1,accuracy_drop_selector_with_resampling,0.7031620740890503,37.078079061582685,ok,
1,2500,endpoint,2000,0.2,none,0.6984189748764038,34.13438789919019,ok,
1,2500,endpoint,2000,0.2,accuracy_drop_selector_with_resampling,0.6916996240615845,36.8807558901608,ok,
1,2500,endpoint,4000,0.05,none,0.7063241004943848,33.93965106457472,ok,
1,2500,endpoint,4000,0.05,accuracy_drop_selector_with_resampling,0.7090908885002136,36.622812544927,ok,
1,2500,endpoint,4000,0.1,none,0.664426863193512,33.93669211678207,ok,
1,2500,endpoint,4000,0.1,accuracy_drop_selector_with_resampling,0.6798418760299683,36.83523812890053,ok,
1,2500,endpoint,4000,0.2,none,0.6343873739242554,34.44048100523651,ok,
1,2500,endpoint,4000,0.2,accuracy_drop_selector_with_resampling,0.6494070887565613,37.66005600243807,ok,
1,2500,endpoint,10000,0.05,none,0.6857707500457764,35.16903447173536,ok,
1,2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.6897233128547668,39.55648195557296,ok,
1,2500,endpoint,10000,0.1,none,0.6316205263137817,34.74884765967727,ok,
1,2500,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.64861661195755,39.031720792874694,ok,
1,2500,endpoint,10000,0.2,none,0.5770751237869263,34.93439125083387,ok,
1,2500,endpoint,10000,0.2,accuracy_drop_selector_with_resampling,0.6086956262588501,38.98928448371589,ok,
1,5000,endpoint,1000,0.05,none,0.761660099029541,33.341962948441505,ok,
1,5000,endpoint,1000,0.05,accuracy_drop_selector_with_resampling,0.7462450861930847,36.24968518689275,ok,
1,5000,endpoint,1000,0.1,none,0.7561264634132385,32.21330186352134,ok,
1,5000,endpoint,1000,0.1,accuracy_drop_selector_with_resampling,0.7355731129646301,35.579268250614405,ok,
1,5000,endpoint,2000,0.05,none,0.7339920997619629,33.432080099359155,ok,
1,5000,endpoint,2000,0.05,accuracy_drop_selector_with_resampling,0.7221344113349915,36.16553349047899,ok,
1,5000,endpoint,2000,0.1,none,0.7134387493133545,34.126350723207,ok,
1,5000,endpoint,2000,0.1,accuracy_drop_selector_with_resampling,0.7047430872917175,36.95393631607294,ok,
1,5000,endpoint,2000,0.2,none,0.6988142132759094,34.32347577251494,ok,
1,5000,endpoint,2000,0.2,accuracy_drop_selector_with_resampling,0.6980237364768982,37.09356134943664,ok,
1,5000,endpoint,4000,0.05,none,0.7063241004943848,33.96971933543682,ok,
1,5000,endpoint,4000,0.05,accuracy_drop_selector_with_resampling,0.708695650100708,37.077075995504856,ok,
1,5000,endpoint,4000,0.1,none,0.664426863193512,33.95601453632116,ok,
1,5000,endpoint,4000,0.1,accuracy_drop_selector_with_resampling,0.6664031744003296,36.8918245844543,ok,
1,5000,endpoint,4000,0.2,none,0.6343873739242554,34.33467544429004,ok,
1,5000,endpoint,4000,0.2,accuracy_drop_selector_with_resampling,0.6403161883354187,37.6912756934762,ok,
1,5000,endpoint,10000,0.05,none,0.6857707500457764,34.93683426827192,ok,
1,5000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.694861650466919,39.09269348718226,ok,
1,5000,endpoint,10000,0.1,none,0.6316205263137817,35.13686248473823,ok,
1,5000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6407114863395691,39.73979496397078,ok,
1,5000,endpoint,10000,0.2,none,0.5766798257827759,34.752268224954605,ok,
1,5000,endpoint,10000,0.2,accuracy_drop_selector_with_resampling,0.5976284742355347,39.14162630960345,ok,
1,10000,endpoint,1000,0.05,none,0.761660099029541,33.66437610797584,ok,
1,10000,endpoint,1000,0.05,accuracy_drop_selector_with_resampling,0.7513834238052368,36.160617619752884,ok,
1,10000,endpoint,1000,0.1,none,0.7573122382164001,33.529363652691245,ok,
1,10000,endpoint,1000,0.1,accuracy_drop_selector_with_resampling,0.7462450861930847,36.48147488757968,ok,
1,10000,endpoint,2000,0.05,none,0.7339920997619629,33.11223682761192,ok,
1,10000,endpoint,2000,0.05,accuracy_drop_selector_with_resampling,0.7324110865592957,36.68420220166445,ok,
1,10000,endpoint,2000,0.1,none,0.7134387493133545,34.35931578092277,ok,
1,10000,endpoint,2000,0.1,accuracy_drop_selector_with_resampling,0.699999988079071,37.19731983356178,ok,
1,10000,endpoint,2000,0.2,none,0.6996047496795654,34.32193525694311,ok,
1,10000,endpoint,2000,0.2,accuracy_drop_selector_with_resampling,0.6944664120674133,37.151826694607735,ok,
1,10000,endpoint,4000,0.05,none,0.7063241004943848,33.9615450296551,ok,
1,10000,endpoint,4000,0.05,accuracy_drop_selector_with_resampling,0.7110671997070312,37.24089110083878,ok,
1,10000,endpoint,4000,0.1,none,0.665217399597168,34.21257623285055,ok,
1,10000,endpoint,4000,0.1,accuracy_drop_selector_with_resampling,0.6683794260025024,36.68079013749957,ok,
1,10000,endpoint,4000,0.2,none,0.6343873739242554,34.60966266691685,ok,
1,10000,endpoint,4000,0.2,accuracy_drop_selector_with_resampling,0.6411067247390747,37.90465425886214,ok,
1,10000,endpoint,10000,0.05,none,0.6857707500457764,35.26604660600424,ok,
1,10000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.6905138492584229,39.40420365333557,ok,
1,10000,endpoint,10000,0.1,none,0.6316205263137817,34.632180865854025,ok,
1,10000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6383399367332458,39.83560010790825,ok,
