seed,candidate_set_size,scoring_mode,block_size,epsilon,use_cert,accuracy,runtime_seconds,status,error
2,5000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,,649.3614430949092,error,RuntimeError: Could not fill block_size=10000 with threshold tau=0.7. Got 1072 after 2000000 tries. Lower tau or increase max_sampling_tries.
2,5000,endpoint,10000,0.1,none,0.7336326837539673,2628.5410046894103,ok,
2,5000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,,650.7535175904632,error,RuntimeError: Could not fill block_size=10000 with threshold tau=0.7. Got 1072 after 2000000 tries. Lower tau or increase max_sampling_tries.
2,5000,endpoint,20000,0.05,none,0.7294483780860901,2638.7280385904014,ok,
2,5000,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,,645.6381263975054,error,RuntimeError: Could not fill block_size=20000 with threshold tau=0.7. Got 1072 after 2000000 tries. Lower tau or increase max_sampling_tries.
2,5000,endpoint,20000,0.1,none,0.6997499465942383,2633.1319256313145,ok,
2,5000,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,,650.3074473403394,error,RuntimeError: Could not fill block_size=20000 with threshold tau=0.7. Got 1072 after 2000000 tries. Lower tau or increase max_sampling_tries.
2,10000,endpoint,10000,0.05,none,0.7481247186660767,2631.7575127594173,ok,
2,10000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.7472572326660156,2833.7141521591693,ok,
2,10000,endpoint,10000,0.1,none,0.7336326837539673,2628.5410046894103,ok,
2,10000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.7364902496337891,2830.099751299247,ok,
2,10000,endpoint,20000,0.05,none,0.7294483780860901,2638.7280385904014,ok,
2,10000,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.7300606966018677,2845.5385877378285,ok,
2,10000,endpoint,20000,0.1,none,0.6997499465942383,2633.1319256313145,ok,
2,10000,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,0.7061284780502319,2841.9628325998783,ok,
3,2500,endpoint,10000,0.05,none,0.643976092338562,2629.1874854788184,ok,
3,2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.650099515914917,2831.614195244387,ok,
3,2500,endpoint,10000,0.1,none,0.6306067109107971,2633.937697209418,ok,
3,2500,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6396897435188293,2837.8734430689365,ok,
3,2500,endpoint,20000,0.05,none,0.6289738416671753,2636.4903460144997,ok,
3,2500,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6381078958511353,2837.6037118490785,ok,
3,2500,endpoint,20000,0.1,none,0.601316511631012,2646.7684439178556,ok,
3,2500,endpoint,20000,0.1,accuracy_drop_selector_with_resampling,0.6196866631507874,2840.404633069411,ok,
3,5000,endpoint,10000,0.05,none,0.643976092338562,2629.1874854788184,ok,
3,5000,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0.6427004337310791,2842.253167115152,ok,
3,5000,endpoint,10000,0.1,none,0.6306067109107971,2633.937697209418,ok,
3,5000,endpoint,10000,0.1,accuracy_drop_selector_with_resampling,0.6326478719711304,2831.732084237039,ok,
3,5000,endpoint,20000,0.05,none,0.6289738416671753,2636.4903460144997,ok,
3,5000,endpoint,20000,0.05,accuracy_drop_selector_with_resampling,0.6298923492431641,2836.2477188184857,ok,
3,5000,endpoint,20000,0.1,none,0.601316511631012,2646.7684439178556,ok,
