candidate_set_size,scoring_mode,block_size,epsilon,use_cert,epoch,accuracy_mean,accuracy_std,loss_mean,loss_std,weights_above_eps_mean,weights_above_eps_std,probability_mass_update_mean,probability_mass_update_std,probability_mass_projected_mean,probability_mass_projected_std,n_seeds
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,-1,0.7678624391555786,0.038630936334284466,-0.5034046530723572,0.06379191930079747,0.0,0.0,0.0,0.0,0.0,0.0,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,0,0.7677909851074218,0.03859307146247682,-0.5033992648124694,0.06379433318019286,5056.2,617.4606870076831,3.9678443908691405,1.181291069887008,3.9678443908691405,1.181291069887008,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,1,0.7672908902168274,0.03878978109230439,-0.5032191514968872,0.06381902282320369,7266.4,262.0406457021506,10.025142669677734,2.9504645909154728,10.025142669677734,2.9504645909154728,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,2,0.766719388961792,0.03899052513926096,-0.5027544379234314,0.06398686032048519,7116.2,192.62580304829362,17.395977210998534,5.202059025926945,17.395977210998534,5.202059025926945,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,3,0.7659539699554443,0.039369341854723565,-0.5019152283668518,0.06426447949348421,6996.4,207.13594569750563,25.80182456970215,7.9446434284225775,25.80182456970215,7.9446434284225775,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,4,0.7647599101066589,0.039701738512275764,-0.5007350862026214,0.06465697825403964,6943.6,163.92162761515027,35.36828460693359,10.887254078338783,35.36828460693359,10.887254078338783,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,5,0.7635454416275025,0.03990718051993832,-0.4992656886577606,0.06504601439826682,6900.4,200.86139499664938,45.96808547973633,13.830217531527607,45.96808547973633,13.830217531527607,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,6,0.7623819947242737,0.04002525666443172,-0.4976246297359467,0.065416996726754,6841.8,208.9944975352222,57.203145599365236,16.686066269251576,57.203145599365236,16.686066269251576,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,7,0.7611879348754883,0.04015420519220913,-0.49592536091804507,0.06573019474794643,6786.2,263.2796991794088,68.86095886230468,19.30261977580948,68.86095886230468,19.30261977580948,5
2500,endpoint,10000,0.05,accuracy_drop_selector_with_resampling,8,0.7602592229843139,0.040418609194087074,-0.49424797892570493,0.06600501278338111,6753.2,286.49205922677857,80.91984176635742,21.61634609841145,80.91984176635742,21.61634609841145,5
