candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,0,0.0,0.0,5
2500,10000,endpoint,random,10,0.0007114648818969726,0.00017674266023143747,5
2500,10000,endpoint,random,20,0.0013438820838928222,0.00035355528832084124,5
2500,10000,endpoint,random,30,0.0015810370445251466,0.0012499195315567157,5
2500,10000,endpoint,random,40,0.0015810370445251466,0.0011523693803016963,5
2500,10000,endpoint,random,50,0.0015019655227661132,0.0010230780157253704,5
2500,10000,endpoint,random,60,0.0015810132026672363,0.0012182742465699677,5
2500,10000,endpoint,random,70,0.0015019774436950684,0.0017092324297331763,5
2500,10000,endpoint,random,80,0.0013438582420349122,0.0012685157576029914,5
2500,10000,endpoint,random,90,0.0023715376853942873,0.0021828833325598994,5
2500,10000,endpoint,random,100,0.0019762873649597167,0.0028910520837601133,5
2500,10000,endpoint,random,110,0.002371549606323242,0.003198906376661129,5
2500,10000,endpoint,random,120,0.002924907207489014,0.0032304669722035178,5
2500,10000,endpoint,random,130,0.0034782767295837404,0.0032521704400839424,5
2500,10000,endpoint,random,140,0.003399217128753662,0.0030437250584295816,5
2500,10000,endpoint,random,150,0.003399217128753662,0.0029125884898229194,5
2500,10000,endpoint,random,160,0.003162062168121338,0.002863895612777115,5
2500,10000,endpoint,random,170,0.004347813129425049,0.003023138585419457,5
2500,10000,endpoint,random,180,0.004189717769622803,0.003132265826166261,5
2500,10000,endpoint,random,190,0.004901182651519775,0.002965737031520501,5
2500,10000,endpoint,random,200,0.004980242252349854,0.0030050007174756786,5
2500,10000,endpoint,random,210,0.005770754814147949,0.003650504439278025,5
2500,10000,endpoint,random,220,0.0060079097747802734,0.0033585254186387246,5
2500,10000,endpoint,random,230,0.006877470016479492,0.0028171610831114677,5
2500,10000,endpoint,random,240,0.007035565376281738,0.002582816461231968,5
2500,10000,endpoint,random,250,0.00735177993774414,0.0023483584549880937,5
2500,10000,endpoint,random,260,0.007509875297546387,0.002606886985762236,5
2500,10000,endpoint,random,270,0.007588934898376465,0.002882935679513983,5
2500,10000,endpoint,random,280,0.00822134017944336,0.002814393882099804,5
2500,10000,endpoint,random,290,0.007984185218811035,0.002701088967462494,5
2500,10000,endpoint,random,300,0.008142304420471192,0.0030179633901858643,5
2500,10000,endpoint,random,310,0.008458483219146728,0.002912587681048477,5
2500,10000,endpoint,random,320,0.008932793140411377,0.002817151466031605,5
2500,10000,endpoint,random,330,0.009090900421142578,0.002546258622511627,5
2500,10000,endpoint,random,340,0.008853745460510255,0.0027183632791582674,5
2500,10000,endpoint,random,350,0.009169960021972656,0.0023283047172921512,5
2500,10000,endpoint,random,360,0.00901186466217041,0.0022945370322265215,5
2500,10000,endpoint,random,370,0.009565222263336181,0.0017764698313064865,5
2500,10000,endpoint,random,380,0.009407114982604981,0.0021358565929233907,5
2500,10000,endpoint,random,390,0.009486162662506103,0.0023047208713252217,5
2500,10000,endpoint,random,400,0.00980236530303955,0.002537047764731169,5
2500,10000,endpoint,random,410,0.00980236530303955,0.0026720020929199787,5
2500,10000,endpoint,random,420,0.009723329544067382,0.0030946225967312525,5
2500,10000,endpoint,random,430,0.009960472583770752,0.0030921063795144223,5
2500,10000,endpoint,random,440,0.010355722904205323,0.003142214338927783,5
2500,10000,endpoint,random,450,0.010750985145568848,0.0029232975981593,5
2500,10000,endpoint,random,460,0.010750997066497802,0.0027724418727987426,5
2500,10000,endpoint,random,470,0.01083003282546997,0.0022979257240378368,5
2500,10000,endpoint,random,480,0.011146247386932373,0.002582797762218479,5
2500,10000,endpoint,random,490,0.011778652667999268,0.002786502678407773,5
2500,10000,endpoint,random,500,0.011699604988098144,0.00285844695810725,5
