seed,small_block_size,checkpoint_epoch,one_step_epoch,linear_id,group,removed_linear_id,replacement_weight,candidate_initial_weight,candidate_gradient,checkpoint_loss,candidate_pre_step_loss,baseline_loss,probe_loss,delta_loss
0,250,0,1,19674,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.000275593891274184,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457852721214294,2.8014183044433594e-06
0,250,0,1,46530,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00012331883772276342,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457884311676025,-3.5762786865234375e-07
0,250,0,1,84718,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00011102893768111244,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457862854003906,1.7881393432617188e-06
0,250,0,1,114246,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.0003572267305571586,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457850933074951,2.9802322387695312e-06
0,250,0,1,314276,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00044829980470240116,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457652449607849,2.282857894897461e-05
0,250,0,1,382480,large_final_missed,41767,1.0000000116860974e-07,1e-07,6.138579192338511e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457880139350891,5.960464477539063e-08
0,250,0,1,477684,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.0001191856135847047,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457903385162354,-2.2649765014648438e-06
0,250,0,1,526222,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.0006830132915638387,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457620859146118,2.5987625122070312e-05
0,250,0,1,591811,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00018681856454350054,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457948088645935,-6.735324859619141e-06
0,250,0,1,605271,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.0002473891945555806,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457827687263489,5.304813385009766e-06
0,250,0,1,605371,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00023241693270392716,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457823514938354,5.7220458984375e-06
0,250,0,1,610329,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00015315256314352155,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457857489585876,2.3245811462402344e-06
0,250,0,1,681759,large_final_missed,41767,1.0000000116860974e-07,1e-07,3.5010496503673494e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457847952842712,3.2782554626464844e-06
0,250,0,1,695770,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.000138125877128914,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457759737968445,1.2099742889404297e-05
0,250,0,1,755717,large_final_missed,41767,1.0000000116860974e-07,1e-07,8.567362965550274e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457892060279846,-1.1324882507324219e-06
0,250,0,1,846448,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00010258432303089648,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457869410514832,1.1324882507324219e-06
0,250,0,1,898066,large_final_missed,41767,1.0000000116860974e-07,1e-07,3.221791484975256e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457904577255249,-2.384185791015625e-06
0,250,0,1,912628,large_final_missed,41767,1.0000000116860974e-07,1e-07,7.958025526022539e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457910537719727,-2.9802322387695312e-06
0,250,0,1,912629,large_final_missed,41767,1.0000000116860974e-07,1e-07,9.629638225305825e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.64579176902771,-3.6954879760742188e-06
0,250,0,1,922479,large_final_missed,41767,1.0000000116860974e-07,1e-07,-1.2836944733862765e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457880735397339,0.0
0,250,0,1,938267,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00015071505913510919,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457921862602234,-4.112720489501953e-06
0,250,0,1,955341,large_final_missed,41767,1.0000000116860974e-07,1e-07,1.0100657164002769e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457880139350891,5.960464477539063e-08
0,250,0,1,967454,large_final_missed,41767,1.0000000116860974e-07,1e-07,1.9214330677641556e-06,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457881927490234,-1.1920928955078125e-07
0,250,0,1,1004934,large_final_missed,41767,1.0000000116860974e-07,1e-07,9.737903019413352e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457841992378235,3.874301910400391e-06
0,250,0,1,1020764,large_final_missed,41767,1.0000000116860974e-07,1e-07,6.375509110512212e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457831859588623,4.887580871582031e-06
0,250,0,1,1121828,large_final_missed,41767,1.0000000116860974e-07,1e-07,7.914502930361778e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457870006561279,1.0728836059570312e-06
0,250,0,1,1205646,large_final_missed,41767,1.0000000116860974e-07,1e-07,3.176494283252396e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457810401916504,7.033348083496094e-06
0,250,0,1,1224963,large_final_missed,41767,1.0000000116860974e-07,1e-07,6.958741141716018e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457845568656921,3.516674041748047e-06
0,250,0,1,1241406,large_final_missed,41767,1.0000000116860974e-07,1e-07,9.373346983920783e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457866430282593,1.430511474609375e-06
0,250,0,1,1251527,large_final_missed,41767,1.0000000116860974e-07,1e-07,7.260315760504454e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457903385162354,-2.2649765014648438e-06
0,250,0,1,1258590,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00027203510398976505,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457592248916626,2.8848648071289062e-05
0,250,0,1,1259224,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00012425902241375297,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6458009481430054,-1.2874603271484375e-05
0,250,0,1,1342013,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00014459228259511292,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457865834236145,1.4901161193847656e-06
0,250,0,1,1351781,large_final_missed,41767,1.0000000116860974e-07,1e-07,7.29902894818224e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457728147506714,1.52587890625e-05
0,250,0,1,1352343,large_final_missed,41767,1.0000000116860974e-07,1e-07,7.507305417675525e-05,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457728147506714,1.52587890625e-05
0,250,0,1,1398701,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00012506851635407656,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457867622375488,1.3113021850585938e-06
0,250,0,1,1420281,large_final_missed,41767,1.0000000116860974e-07,1e-07,0.00014932401245459914,-0.6458247900009155,-0.6458247900009155,-0.6457880735397339,-0.6457865834236145,1.4901161193847656e-06
